client_id,account_id,archetype,home_branch,preferred_day,branch_loyalty,counterparty_known_ratio,op_mix_retrait,op_mix_versement,op_mix_virement,op_mix_cheque,amount_mean_retrait,amount_mean_versement,amount_mean_virement,amount_mean_cheque,amount_std_retrait,amount_std_versement,amount_std_virement,amount_std_cheque,frequency_retrait,frequency_versement,frequency_virement,frequency_cheque,account_opening_date
a4825582-8541-4320-b5fb-aa49f014ade7,6dd10d11-f6ee-44c8-9d51-cb400a61b5d4,salaried,BR-038,2,0.7874033954655437,1.0,0.564186,0.047246,0.352524,0.036043,300.14,212.35,549.66,458.05,45.0,30.0,60.0,60.0,2.44,0.31,1.49,0.43,2019-10-25
71d0f426-1a85-44b4-bcec-44e89ced31ef,bff4b76f-ed63-4cf3-80b4-3070c90f93c2,salaried,BR-023,5,0.954723020902334,0.7597863305025698,0.496193,0.056575,0.397029,0.050204,221.92,186.78,494.22,483.72,45.0,30.0,60.0,60.0,2.95,0.78,0.48,0.29,2015-05-03
1efae295-ba83-426f-ba7c-bc351560fcac,e41d7162-4236-45ce-8779-f6b48752c2d3,salaried,BR-073,1,0.9473978715018516,0.767851969080414,0.49249,0.034993,0.426027,0.04649,266.21,125.77,413.08,439.62,45.0,30.0,60.0,60.0,4.33,0,2.19,0.16,2013-12-24
6b7d8623-7f83-4fb4-9b1f-560534220444,9fa5bcf3-808b-4047-a4b0-45e8e7adcc21,salaried,BR-124,6,1.0,0.8120987424850363,0.530799,0.046122,0.383854,0.039225,272.53,316.76,355.17,635.52,45.0,30.0,60.0,60.0,2.34,0.44,1.79,0.41,2018-10-17
bdb4b79e-3100-47f8-9631-df5f1f59601f,4ae5606e-2bc7-442f-8433-9e1a51de1ae0,salaried,BR-038,3,0.8337463163381199,0.764783354569981,0.477634,0.055037,0.408709,0.05862,408.08,314.97,631.12,492.57,45.0,30.0,60.0,60.0,2.21,0.42,2.73,0.13,2020-07-31
cddc50fe-638f-4c6e-a1e8-9fb1f52cf584,24458bd2-6c26-482c-a3bd-f4b260454919,salaried,BR-049,1,0.8003588918047566,0.757610282746062,0.467674,0.037669,0.450348,0.04431,258.73,130.24,384.58,415.97,45.0,30.0,60.0,60.0,3.93,0,1.44,0.51,2010-03-27
33daee31-26e9-41a1-81f8-cce4d7349f10,dfb27333-e0d9-4b37-ab67-93549eb46b5f,salaried,BR-068,6,0.8299089339807771,0.9495494308118712,0.466982,0.044741,0.432402,0.055875,408.27,219.27,520.49,567.0,45.0,30.0,60.0,60.0,4.28,0.06,2.16,0.06,2013-10-10
65971f16-2636-4783-a00a-85b03df70886,c92e7a04-53bf-43ad-8033-0d608f1a9120,salaried,BR-123,3,0.8070784780262729,0.7139260625021668,0.531806,0.065668,0.352285,0.050241,318.44,91.9,384.4,615.36,45.0,30.0,60.0,60.0,2.67,0.3,2.66,0.19,2016-08-11
6026d143-70d2-43ba-8024-2835a9eb3210,fd3e92e2-5b2f-4d1c-90f1-662d59e5e1b4,salaried,BR-024,2,0.9649765527604532,0.851130485926161,0.538487,0.046329,0.377844,0.03734,272.45,277.53,568.16,413.22,45.0,30.0,60.0,60.0,1.57,0,2.72,0.3,2022-04-21
6852ae3d-8bd3-4169-a748-df5a88f64ac4,00413c28-c8e8-423d-8030-ee3fdd010086,salaried,BR-094,4,1.0,0.8648038274462807,0.484083,0.041934,0.424903,0.049079,331.12,198.95,560.83,381.42,45.0,30.0,60.0,60.0,1.87,0,2.34,0.23,2021-09-16
4b4937eb-fceb-4d0f-89bd-57d8f9fea7c6,cbfba5dd-2757-4d5a-85c1-44002a2835d0,salaried,BR-147,6,0.8016607584328749,0.8281308066826958,0.535801,0.051024,0.357013,0.056162,297.59,255.14,436.7,468.58,45.0,30.0,60.0,60.0,1.89,0.72,1.18,0.31,2023-01-02
1d4df75d-9a25-4f1e-b30b-e2aee25ffc43,9bb46881-a6c0-4d09-8580-dbd25e73edc3,salaried,BR-001,1,1.0,0.8309756834453016,0.516765,0.044637,0.388639,0.049959,382.55,161.61,342.33,513.96,45.0,30.0,60.0,60.0,3.41,0.62,4.64,1.2,2021-07-30
20245901-d561-42e8-99e8-8e50ebffb543,925d5d5c-dc79-4bbe-97ff-db81520f07e3,salaried,BR-088,1,1.0,0.8423734583503015,0.456684,0.064262,0.427089,0.051965,288.23,213.37,489.08,474.79,45.0,30.0,60.0,60.0,2.32,0.7,1.55,0.59,2018-04-20
0d7ddcd3-2fca-4c90-a4b4-6536c38c1f1f,2ad6360f-c42e-4fdf-a950-15065e845871,salaried,BR-028,1,0.9425175993257834,0.7881636728951134,0.482333,0.051365,0.399489,0.066813,318.12,191.39,272.4,510.52,45.0,30.0,60.0,60.0,3.47,0.13,1.06,0.21,2013-10-27
b50efd85-a6a0-443b-be66-3a425442da13,8e47b9d0-68c2-4a7d-ae82-5faead8673b8,salaried,BR-037,3,0.8033448898428696,1.0,0.491898,0.04925,0.410841,0.048011,317.46,237.49,523.86,682.78,45.0,30.0,60.0,60.0,3.41,0.15,3.81,0.79,2018-12-08
30839559-fbaf-41fe-b810-1057313c14c6,bad95714-7750-43bd-9c1f-af1f4de59960,salaried,BR-105,4,0.8333858040640613,0.8126460722976533,0.472821,0.037267,0.434436,0.055476,329.69,221.45,426.55,351.12,45.0,30.0,60.0,60.0,2.35,1.25,3.53,0,2019-11-09
a37b5105-ce65-4874-b133-0e9d198fd41d,74414423-58d7-42da-9a96-9c8663566c66,salaried,BR-039,5,1.0,0.8313179157593087,0.440098,0.051929,0.456584,0.05139,181.05,225.2,474.13,613.63,45.0,30.0,60.0,60.0,2.32,0.76,2.48,0,2019-02-19
0db09cec-dc8c-4750-a336-1c24720b3931,2a8064ae-1890-4f9c-9048-e13042e7e184,salaried,BR-034,2,1.0,0.9635544012820705,0.558656,0.050978,0.340154,0.050212,285.05,123.96,349.98,594.94,45.0,30.0,60.0,60.0,3.46,0.45,0.72,0.23,2022-10-16
90b167f0-3ba1-4f91-ad53-4d91db7270b1,85891739-cdb9-4087-97a0-0aaa95f69460,salaried,BR-065,4,0.853599358201913,0.8883240953923797,0.487655,0.062822,0.410157,0.039366,375.07,233.94,366.14,514.89,45.0,30.0,60.0,60.0,2.63,0.25,0.76,0.76,2018-08-26
8090acbe-08a8-4913-8e24-c8a47d347ad5,01d714c7-bdf1-4d66-b9c9-5148b24fdf6d,salaried,BR-071,1,0.8197000774218618,1.0,0.431434,0.049215,0.456251,0.0631,309.22,156.97,639.94,614.53,45.0,30.0,60.0,60.0,3.52,0.42,1.93,0.37,2019-04-11
2a7451cc-7120-4503-b63f-51a3cda03daf,c69bf71b-bb91-4934-b659-853a6eb7d49c,salaried,BR-027,3,1.0,0.6916020996913166,0.485161,0.056191,0.408508,0.05014,385.42,143.41,395.13,538.31,45.0,30.0,60.0,60.0,2.48,0.28,2.0,0.57,2014-03-25
d360cc8d-bbf6-43e5-9924-8b9f21c6fa85,d850eca8-d15a-43c2-8afa-4c7c5ccd7b36,salaried,BR-014,3,0.9775772788226382,0.8612183009734098,0.482899,0.04821,0.422752,0.046139,189.6,170.0,362.62,346.17,45.0,30.0,60.0,60.0,4.12,0.94,1.68,0.13,2010-09-23
dfb76aec-abfd-4045-862b-1f49eaf88208,d33ecf3a-91f2-47a0-830f-de6e1d48e7be,salaried,BR-126,3,0.9513090666986487,0.7746537965240325,0.539189,0.047483,0.359171,0.054158,403.85,247.66,426.66,553.4,45.0,30.0,60.0,60.0,4.04,0.59,0.02,0.13,2013-12-12
875c1919-627d-4a4d-bbe1-0166996bff0e,d0670572-df17-4134-a371-b47c8bc3fb30,salaried,BR-131,3,0.9595167130511382,0.6773231107967678,0.475782,0.049936,0.444399,0.029883,145.02,253.43,469.02,513.48,45.0,30.0,60.0,60.0,3.46,0.04,2.43,0.62,2022-08-23
6167b02f-69d8-4941-9d88-9819592ddb36,33a650d8-f6c8-44df-b09e-b21fb0ab22bb,salaried,BR-044,5,0.8234766037917023,0.9313151618737139,0.4536,0.043559,0.450069,0.052772,268.99,274.77,522.87,450.16,45.0,30.0,60.0,60.0,4.38,0.58,0.25,0.17,2013-11-07
3805c0ab-981a-47f7-ac4f-e5f982a04897,f203a89d-612b-45be-bc62-f674bda8181a,salaried,BR-014,5,0.8081968723792571,0.8249580349121558,0.528418,0.044876,0.372927,0.053778,285.11,230.69,506.57,565.41,45.0,30.0,60.0,60.0,3.22,0.81,0.89,0,2017-04-15
6243bff6-74ae-4b76-a361-fc5479403278,72264afa-a7f7-4a2c-9c8d-9422d09ace61,salaried,BR-084,1,0.8896255839367189,0.8012805682119006,0.330637,0.034181,0.574163,0.061019,253.18,156.05,470.37,544.39,45.0,30.0,60.0,60.0,2.17,0.15,2.86,0.21,2010-08-12
fea33f0e-6901-40e9-b3c6-c063f3bf047f,d48e43a9-c059-4b3d-aec4-824bb0aa2d3e,salaried,BR-112,3,0.8888222249772321,0.8307727791692683,0.467209,0.047855,0.441275,0.04366,343.89,113.56,300.12,432.74,45.0,30.0,60.0,60.0,3.23,0.64,1.39,0.07,2020-08-19
f77a968d-1ea9-4508-89c7-1e507659c1df,91f25d42-d616-4451-b6d8-b34f7e1f0d46,salaried,BR-118,4,0.8547231031448178,0.725104806156398,0.454174,0.035257,0.461006,0.049563,163.56,317.77,495.45,569.64,45.0,30.0,60.0,60.0,3.65,0.29,2.5,0,2020-04-14
8287fd45-8747-4f30-9fdf-6434b0fb83ac,cc5c7f3b-e5cc-4c26-bbfa-3f93727d3b32,salaried,BR-066,7,0.9782346748632414,0.8122547736284402,0.509021,0.053106,0.382618,0.055255,205.75,131.68,516.48,596.57,45.0,30.0,60.0,60.0,3.68,0.58,1.69,0.14,2022-05-18
fe47f737-6e98-426d-83a5-75dab802f63c,a70bd6c4-dd4f-45bd-9002-55e2d8b2f621,salaried,BR-106,3,0.9088231769291211,0.7598802326864671,0.460995,0.043347,0.451167,0.04449,325.14,154.45,315.75,465.52,45.0,30.0,60.0,60.0,2.91,0.36,0.65,0.48,2019-08-29
6f4ef0d8-9d06-4975-94a9-2e099086a26d,27923a8a-b937-42a8-999e-4b504c368f97,salaried,BR-021,1,0.673028858606312,0.9778148750672204,0.591287,0.046924,0.309085,0.052703,229.66,260.88,497.01,633.82,45.0,30.0,60.0,60.0,4.21,0.58,1.64,0.33,2019-06-28
d65950d2-bf99-40e4-8843-493dd2597aa6,8bda29cf-641e-4478-a009-653e5ce05c9b,salaried,BR-081,1,0.6826452887473704,0.7215989345832137,0.561663,0.049796,0.322687,0.065854,239.41,133.35,331.58,514.63,45.0,30.0,60.0,60.0,2.39,0.62,3.4,0.57,2019-12-14
180b31d2-4fa8-4e59-9d86-e5d1bd15f141,b0c38994-d60a-44ad-846d-de0579fc293a,salaried,BR-053,2,1.0,0.9988919749426497,0.545943,0.052725,0.348489,0.052842,229.97,191.92,626.64,444.89,45.0,30.0,60.0,60.0,1.86,1.1,3.01,0.39,2019-04-13
8be3b764-3525-487e-9128-aa905b231085,f08cdd03-e260-493e-9c5b-997aa730524b,salaried,BR-033,2,1.0,0.8215314938133617,0.477588,0.054078,0.434407,0.033928,378.53,137.52,258.7,451.33,45.0,30.0,60.0,60.0,4.16,0.24,2.47,0.83,2010-10-02
c8216d0a-f0ec-4e47-a0a4-6aa809ba870e,63e32c6d-081d-4771-a301-6e5c8548a69a,salaried,BR-093,1,1.0,0.6464826971008053,0.477859,0.057136,0.398677,0.066328,346.31,232.97,609.36,410.3,45.0,30.0,60.0,60.0,2.92,0.47,0.72,0.29,2012-11-20
7123224b-8b2c-42c7-9658-3f0ca99a3fc7,5689a368-d24c-4361-909e-0f54f70d8852,salaried,BR-108,4,0.940762726846863,0.7153424541286826,0.461604,0.042444,0.441764,0.054188,274.72,202.95,348.87,589.75,45.0,30.0,60.0,60.0,2.86,0.6,1.58,0.03,2019-08-22
c25dea69-9046-47ff-9e7c-e75571d87c68,b3911a91-e67e-4a9a-924b-a0076086e6f2,salaried,BR-005,2,0.8090577795512975,0.8370532933724645,0.405551,0.057157,0.487054,0.050237,478.36,170.83,478.03,578.52,45.0,30.0,60.0,60.0,3.24,0.28,1.48,0.48,2018-12-06
c0877d96-3a93-493c-b097-ab0d321e703e,f72ebae2-6ccb-4100-8781-bb75576ae4d2,salaried,BR-099,1,1.0,1.0,0.554566,0.040824,0.358992,0.045618,329.76,206.36,296.49,352.04,45.0,30.0,60.0,60.0,4.03,0.09,1.16,0.37,2012-03-31
77023fc9-9afe-42aa-bb62-3d0351dbbfd6,646d470d-60b8-4ad3-92b4-9316a17bbf6c,salaried,BR-023,1,1.0,0.8572785683209507,0.500549,0.067122,0.38306,0.04927,236.34,225.25,561.78,559.05,45.0,30.0,60.0,60.0,3.2,0.44,2.42,0.74,2010-03-07
e9b30269-128d-4cd0-99bc-f55ba523250c,3e2f6862-345e-4262-a410-a76f06d5aad7,salaried,BR-102,1,0.8783691910903613,0.9022390113607244,0.596668,0.047547,0.311788,0.043997,265.35,224.72,285.64,344.38,45.0,30.0,60.0,60.0,1.46,0,0.52,0.3,2018-05-05
c7e5a639-76cc-42f2-9547-12c2f4e7f5d9,2e33a5d6-62f8-441f-8108-89ff24feff51,salaried,BR-053,4,0.8786066346489365,1.0,0.493669,0.054822,0.411584,0.039925,462.06,186.08,420.64,440.39,45.0,30.0,60.0,60.0,6.22,0.52,0,0.74,2013-11-24
433969a0-2289-453b-89cb-010d61a0dd3a,f78168e7-d22b-46f1-85a0-bd0efae9e23e,salaried,BR-045,3,0.7425841016010925,0.7131058647482593,0.556697,0.048632,0.352265,0.042406,383.17,216.82,209.59,478.52,45.0,30.0,60.0,60.0,2.51,0.65,0.4,0.45,2018-12-08
4869b0eb-3cb7-4b4b-b2b9-c33e4f5f7323,1d80f8c1-6da5-4739-9a3e-31293f2af51e,salaried,BR-128,2,0.7896006169965301,0.845278412644213,0.550545,0.056193,0.349468,0.043793,281.6,230.94,570.87,492.84,45.0,30.0,60.0,60.0,3.06,0.81,1.64,0.31,2019-11-23
cb6935b2-98e0-4cda-91af-192e4e7b8a80,045f5104-c5e5-4d1a-8c8a-f366d4bd5eac,salaried,BR-128,6,0.9147425714268935,0.9250342599152809,0.503328,0.066753,0.374706,0.055213,326.68,226.53,389.58,598.71,45.0,30.0,60.0,60.0,3.16,0.64,1.75,0.41,2015-08-23
32753783-c24d-420c-a50f-338fb2fa5abb,b3bc0a4e-4920-469d-928c-dca59653bc49,salaried,BR-135,2,0.8311622174929595,0.9498752814364511,0.516739,0.042714,0.405293,0.035254,103.56,61.96,384.67,465.59,45.0,30.0,60.0,60.0,5.22,0.03,1.47,0.29,2020-02-01
5a178382-3d21-4382-9f06-9350d60261e9,88c069b5-7226-4e34-a2f2-67a0d3ce1ec1,salaried,BR-033,3,0.9436605228093782,0.8237226981583666,0.50066,0.050489,0.392803,0.056048,295.78,75.95,392.2,551.35,45.0,30.0,60.0,60.0,3.31,0.5,2.79,0.08,2018-05-07
11426123-e008-48fd-ab90-444f9fe13f44,8dcfb0b0-fe3b-4d93-84b2-4a7d248bada2,salaried,BR-149,1,0.9252609431587687,0.7529728455215599,0.50898,0.057152,0.390864,0.043005,308.31,263.16,285.8,698.16,45.0,30.0,60.0,60.0,2.44,0.72,0.17,0.4,2016-04-01
2841c6e7-2f9a-4a19-8f98-95ef0f997473,44efd1ab-e150-4e6d-83e7-965be2f84e03,salaried,BR-132,1,0.9659900645162813,0.9628801125642152,0.527941,0.04739,0.382035,0.042634,376.63,247.7,457.96,310.21,45.0,30.0,60.0,60.0,2.54,0.37,2.07,0.62,2015-08-14
36c38243-6240-4ef9-b181-dee398b82b8e,67ba2555-cdbc-48cf-8be7-d7f83b661d54,salaried,BR-138,5,0.8547833517420762,0.9580615738116325,0.502138,0.057618,0.397125,0.043119,364.14,211.21,487.78,386.27,45.0,30.0,60.0,60.0,2.54,0,1.48,0.25,2010-07-21
3acea410-8188-43d6-ab57-fe22867f2d47,554f8ad9-0a12-4cf9-a9de-4916b22cc4e5,salaried,BR-149,1,0.872408893984359,0.7729340417512393,0.501524,0.045263,0.402387,0.050826,326.48,175.0,510.76,463.1,45.0,30.0,60.0,60.0,3.2,0,0.47,0.32,2015-07-26
a50c8634-857a-4404-a794-dcac4887b03d,e9c7cf15-3e56-4602-b735-21db5bd96465,salaried,BR-134,1,0.8473005397270355,0.906501462234589,0.494518,0.051782,0.404276,0.049424,174.92,174.97,435.23,482.34,45.0,30.0,60.0,60.0,2.49,0.12,0.65,0.38,2020-12-11
fdc39966-5b29-4018-860e-4f5d013c4e8c,ab842851-afa3-4aeb-9312-dfe7916ecfe6,salaried,BR-062,1,0.8449438446015793,0.9891570507951771,0.487444,0.051365,0.407886,0.053306,429.29,161.02,692.29,732.33,45.0,30.0,60.0,60.0,1.72,0.32,2.69,0.13,2015-07-23
d6e47841-9f5a-4e0a-bf3f-f89b9be8ad3f,137e80d4-d734-49a2-8fbe-c2249894e05a,salaried,BR-010,2,0.876985833425114,0.9099732313770232,0.531135,0.045133,0.375951,0.047781,393.1,273.71,451.5,590.6,45.0,30.0,60.0,60.0,2.86,0.15,1.23,0.91,2016-04-11
6574bbdf-cfbe-465b-8bd0-df0b2755b4d9,230eb6b6-004b-40b5-8efe-54c6885d645f,salaried,BR-114,1,0.7643306195874335,0.9832188232844263,0.498822,0.058782,0.388461,0.053936,376.32,200.54,532.3,524.03,45.0,30.0,60.0,60.0,3.81,0.4,1.39,0.31,2013-11-10
d6ec8916-0e49-4e33-8713-3cfcc537002a,1027e091-ddca-47e8-8927-7d7b49074de3,salaried,BR-097,1,0.7974291176693253,0.8177041457965994,0.511897,0.043039,0.386142,0.058921,320.5,147.67,335.14,518.79,45.0,30.0,60.0,60.0,4.52,0.45,2.56,0,2022-01-25
e1e1f588-e114-465c-8947-180efef69e93,5cb5c0ef-d05b-49ed-ac9e-edc0f18a075d,salaried,BR-021,1,0.8596465067035625,0.7278298239667935,0.534311,0.043355,0.381632,0.040702,379.59,198.99,585.71,457.98,45.0,30.0,60.0,60.0,2.04,0.29,1.78,0.25,2014-03-13
d1c44fc2-d82d-406c-929d-dd3da5d25c7b,b6eca56e-b910-499c-9866-145616e51642,salaried,BR-062,3,0.9669350663346382,0.8887619816443949,0.465379,0.055652,0.413739,0.06523,299.63,255.67,616.96,472.47,45.0,30.0,60.0,60.0,4.46,0.33,1.48,0.28,2010-06-21
c6bf6aa3-02f7-4532-8545-4d06bd33a604,b24e3493-2811-494c-b382-d4f8b1f58136,salaried,BR-144,2,0.9954430143428231,0.9263191420236534,0.466682,0.057042,0.428594,0.047683,284.88,148.3,376.01,492.06,45.0,30.0,60.0,60.0,2.77,0.07,1.31,0.07,2011-12-11
038b7c5f-3ffc-477f-94af-89dc8f615830,2c7a49a6-3fb3-471e-9c91-2e1b7c585da1,salaried,BR-100,4,0.9822250783005788,0.6945041553997857,0.548858,0.04375,0.366787,0.040606,350.4,138.4,506.78,386.67,45.0,30.0,60.0,60.0,2.5,0.75,0.32,0.66,2022-07-22
3ef1e4af-b583-499f-9e1b-05b39cdf91e1,ea652d49-2d0e-47d5-aaf8-0a133a115c45,salaried,BR-138,1,0.9110987754100351,0.872100020152507,0.463549,0.051065,0.444282,0.041105,298.91,210.21,515.62,460.85,45.0,30.0,60.0,60.0,2.6,0.74,1.38,0.39,2017-01-03
8debeb73-bb0b-42ad-a86e-f740b0ac705a,706e411f-cd3c-4858-b3da-85c1cec36307,salaried,BR-008,2,0.9688356906099733,0.8784171376154941,0.453409,0.047331,0.448795,0.050465,316.05,162.61,425.97,525.81,45.0,30.0,60.0,60.0,3.58,0.54,1.57,0.16,2012-10-24
c73580fe-1806-49d0-8a7d-d94dfc3f5092,af793285-1b02-4cab-b8ae-049e1970dc98,salaried,BR-013,3,0.9047574958002028,0.8575560959917932,0.517498,0.056858,0.384824,0.04082,275.63,173.66,583.44,587.74,45.0,30.0,60.0,60.0,3.45,0.46,3.01,0,2018-01-26
77a88239-4f2a-4926-bf77-07041ed641a6,0ad757c2-9ec0-4ed5-b477-27735acfd334,salaried,BR-061,1,1.0,0.682799598986269,0.569933,0.04301,0.336893,0.050164,196.63,222.41,443.76,569.89,45.0,30.0,60.0,60.0,1.44,0.43,2.6,0.46,2020-04-19
c704989e-2975-4c49-89ad-8f80844f06f0,e16c1aea-2d55-4a60-b157-7086d8672888,salaried,BR-053,1,0.6722738005029647,0.6348575888224841,0.492303,0.057776,0.407754,0.042166,474.3,202.05,300.92,536.39,45.0,30.0,60.0,60.0,1.97,0.54,1.8,0,2016-03-01
34923033-9d5c-4250-b229-e6f25e897607,226b0db6-3fe1-48b9-a179-cda2f0147a66,salaried,BR-099,3,0.8416657511540832,0.9406210920469849,0.501925,0.051323,0.396962,0.04979,289.67,221.08,444.22,632.92,45.0,30.0,60.0,60.0,1.63,0.63,1.64,0.49,2013-08-18
60d5a14a-d523-4b91-ad59-f08fe7334b70,34dda214-b748-4a15-845d-89453858e20b,salaried,BR-024,3,0.7502345297299192,0.7613788859934163,0.508116,0.043846,0.40263,0.045408,274.06,209.14,540.07,571.64,45.0,30.0,60.0,60.0,1.58,0.45,0.93,0.38,2010-08-22
01224eaa-3e71-4cff-972b-d74786be672a,6c88ddc0-48b1-4ca4-9680-2056014434a3,salaried,BR-010,2,1.0,0.8936726842952684,0.505049,0.054587,0.399446,0.040918,332.06,186.13,548.7,352.14,45.0,30.0,60.0,60.0,1.61,0.27,1.87,0.34,2016-03-28
b6a2ce27-bf79-4ec6-b106-7c4b2c065722,3a41ddba-056d-4f96-867c-77fe45a40a63,salaried,BR-054,1,0.918367283907052,0.884482795654977,0.546821,0.056593,0.350272,0.046314,273.46,153.06,444.98,617.18,45.0,30.0,60.0,60.0,3.17,0.41,3.33,0.31,2019-05-21
24309b04-c2d5-4780-a694-93b61fd77a3d,6dd35710-a907-4c5a-9c44-5724ed26eed9,salaried,BR-078,2,0.8311191933995438,0.8553002289468907,0.517279,0.04063,0.393055,0.049036,221.11,155.86,336.79,510.65,45.0,30.0,60.0,60.0,3.76,0.26,0,0.36,2018-05-05
a23aa40a-e408-4868-9856-8562db161244,1b92185e-db99-48f7-bd92-7f9c75a99d10,salaried,BR-045,1,0.7451445517074601,0.8230981623027521,0.525178,0.047559,0.376659,0.050604,422.72,261.87,411.84,656.77,45.0,30.0,60.0,60.0,3.37,0.5,1.51,0.32,2019-12-19
cff02584-415e-4743-97d5-5f7d69be89c8,18a66ee5-9eeb-4965-9aae-1ee28e7de5f8,salaried,BR-046,7,0.948347062094786,0.8452675114960827,0.435271,0.045883,0.460491,0.058355,272.13,259.56,416.17,643.7,45.0,30.0,60.0,60.0,3.11,0,1.87,0.26,2017-08-12
