employee_id,branch_id
EMP-0099,BR-050
EMP-0100,BR-050
EMP-0101,BR-051
EMP-0102,BR-051
EMP-0103,BR-052
EMP-0104,BR-052
EMP-0105,BR-053
EMP-0106,BR-053
EMP-0107,BR-054
EMP-0108,BR-054
EMP-0109,BR-055
EMP-0110,BR-055
EMP-0111,BR-056
EMP-0112,BR-056
EMP-0113,BR-057
EMP-0114,BR-057
EMP-0115,BR-058
EMP-0116,BR-058
EMP-0117,BR-059
EMP-0118,BR-059
EMP-0119,BR-060
EMP-0120,BR-060
EMP-0121,BR-061
EMP-0122,BR-061
EMP-0123,BR-062
EMP-0124,BR-062
EMP-0125,BR-063
EMP-0126,BR-063
EMP-0127,BR-064
EMP-0128,BR-064
EMP-0129,BR-065
EMP-0130,BR-065
EMP-0131,BR-066
EMP-0132,BR-066
EMP-0133,BR-067
EMP-0134,BR-067
EMP-0135,BR-068
EMP-0136,BR-068
EMP-0137,BR-069
EMP-0138,BR-069
EMP-0139,BR-070
EMP-0140,BR-070
EMP-0141,BR-071
EMP-0142,BR-071
EMP-0143,BR-072
EMP-0144,BR-072
EMP-0145,BR-073
EMP-0146,BR-073
EMP-0147,BR-074
EMP-0148,BR-074
EMP-0149,BR-075
EMP-0150,BR-075
EMP-0151,BR-076
EMP-0152,BR-076
EMP-0153,BR-077
EMP-0154,BR-077
EMP-0155,BR-078
EMP-0156,BR-078
EMP-0157,BR-079
EMP-0158,BR-079
EMP-0159,BR-080
EMP-0160,BR-080
EMP-0161,BR-081
EMP-0162,BR-081
EMP-0163,BR-082
EMP-0164,BR-082
EMP-0165,BR-083
EMP-0166,BR-083
EMP-0167,BR-084
EMP-0168,BR-084
EMP-0169,BR-085
EMP-0170,BR-085
EMP-0171,BR-086
EMP-0172,BR-086
EMP-0173,BR-087
EMP-0174,BR-087
EMP-0175,BR-088
EMP-0176,BR-088
EMP-0177,BR-089
EMP-0178,BR-089
EMP-0179,BR-090
EMP-0180,BR-090
EMP-0181,BR-091
EMP-0182,BR-091
EMP-0183,BR-092
EMP-0184,BR-092
EMP-0185,BR-093
EMP-0186,BR-093
EMP-0187,BR-094
EMP-0188,BR-094
EMP-0189,BR-095
EMP-0190,BR-095
EMP-0191,BR-096
EMP-0192,BR-096
EMP-0193,BR-097
EMP-0194,BR-097
EMP-0195,BR-098
EMP-0196,BR-098
EMP-0197,BR-099
EMP-0198,BR-099
EMP-0199,BR-100
EMP-0200,BR-100
EMP-0201,BR-101
EMP-0202,BR-101
EMP-0203,BR-102
EMP-0204,BR-102
EMP-0205,BR-103
EMP-0206,BR-103
EMP-0207,BR-104
EMP-0208,BR-104
EMP-0209,BR-105
EMP-0210,BR-105
EMP-0211,BR-106
EMP-0212,BR-106
EMP-0213,BR-107
EMP-0214,BR-107
EMP-0215,BR-108
EMP-0216,BR-108
EMP-0217,BR-109
EMP-0218,BR-109
EMP-0219,BR-110
EMP-0220,BR-110
EMP-0221,BR-111
EMP-0222,BR-111
EMP-0223,BR-112
EMP-0224,BR-112
EMP-0225,BR-113
EMP-0226,BR-113
EMP-0227,BR-114
EMP-0228,BR-114
EMP-0229,BR-115
EMP-0230,BR-115
EMP-0231,BR-116
EMP-0232,BR-116
EMP-0233,BR-117
EMP-0234,BR-117
EMP-0235,BR-118
EMP-0236,BR-118
EMP-0237,BR-119
EMP-0238,BR-119
EMP-0239,BR-120
EMP-0240,BR-120
EMP-0241,BR-121
EMP-0242,BR-121
EMP-0243,BR-122
EMP-0244,BR-122
EMP-0245,BR-123
EMP-0246,BR-123
EMP-0247,BR-124
EMP-0248,BR-124
EMP-0249,BR-125
EMP-0250,BR-125
EMP-0251,BR-126
EMP-0252,BR-126
EMP-0253,BR-127
EMP-0254,BR-127
EMP-0255,BR-128
EMP-0256,BR-128
EMP-0257,BR-129
EMP-0258,BR-129
EMP-0259,BR-130
EMP-0260,BR-130
EMP-0261,BR-131
EMP-0262,BR-131
EMP-0263,BR-132
EMP-0264,BR-132
EMP-0265,BR-133
EMP-0266,BR-133
EMP-0267,BR-134
EMP-0268,BR-134
EMP-0269,BR-135
EMP-0270,BR-135
EMP-0271,BR-136
EMP-0272,BR-136
EMP-0273,BR-137
EMP-0274,BR-137
EMP-0275,BR-138
EMP-0276,BR-138
EMP-0277,BR-139
EMP-0278,BR-139
EMP-0279,BR-140
EMP-0280,BR-140
EMP-0281,BR-141
EMP-0282,BR-141
EMP-0283,BR-142
EMP-0284,BR-142
EMP-0285,BR-143
EMP-0286,BR-143
EMP-0287,BR-144
EMP-0288,BR-144
EMP-0289,BR-145
EMP-0290,BR-145
EMP-0291,BR-146
EMP-0292,BR-146
EMP-0293,BR-147
EMP-0294,BR-147
EMP-0295,BR-148
EMP-0296,BR-148
EMP-0297,BR-149
EMP-0298,BR-149
EMP-0299,BR-150
EMP-0300,BR-150
